Oral_Comm,Writ_Comm,Crit_Think,Phys_Sci,Bio_Sci,Sci_Labs,Math,Arts,Hum,Arts_Hum,Amer_Hist_Gov,Institutions,Self_Dev,Ethnic_Stds
COMM 100,ENGL 100,COMM 103,ASTR 102,A&P 120L,ASTR 105L,FIN 125M,ARCH 112,AFRS 226 CL,ARCH 112,CS 108 CL,AJ 101,ANTH 205 CL,AFRS 105
COMM 120,ENGL 100S,ENGL 103,ASTR 103,A&P 150L,CHEM 100L,MATH 110A,ART 100,ASL 110,ART 100,HIST 101 CL,AFRS 105,CD 110,
COMM 125,,ENGL 110,ASTR 104,A&P 151L,CHEM 110L,MATH 110B,ART 101,ASL 111,ART 101,HIST 102,ASL 220,COUN 200,
COMM 130,,PHIL 103,ASTR 105L ,A&P 200L,CHEM 111L,MATH 112,ART 102,ASL 210,ART 102,HIST 103,ANTH 100,HED 100,
COMM 132,,PHIL 106,ASTR 106,A&P 201L,CHEM 112L,MATH 114,ART 103,ASL 211,ART 103,HIST 108 CL,ANTH 120,HED 101,
,,PSYC 103,CHEM 100L,ANTH 115,ESCI 102L,MATH 115,ART 104,ASL 220,ART 104,POL 101,ANTH 170,HED 103 CL,
,,READ 103,CHEM 110L,ANTH 115L,ESCI 104L,MATH 116,ART 105A,ART 108 CL,ART 105A,POL 201,ANTH 200,HED 105,
,,,CHEM 111L,BIOL 105,ESCI 110L,MATH 140,ART 105B,ART 109 CL,ART 105B,,ANTH 202,HO 152,
,,,CHEM 112L,BIOL 110L,GEOG 101L,MATH 155,ART 106,ART 124,ART 106,,ANTH 203,HO 245 CL,
,,,ESCI 101,BIOL 115L,GEOL 101L,MATH 160,ART 107,ART 125,ART 107,,ANTH 205 CL,KIN 104,
,,,ESCI 102L,BIOL 120L,GEOL 102L,MATH 170,ART 108 CL,ART 207,ART 108 CL,,ANTH 206,KIN 108 CL,
,,,ESCI 104,BIOL 200L,GEOL 103L,MATH 190,ART 109 CL,CHIN 101,ART 109 CL,,BA 100,PSYC 150,
,,,ESCI 104L,BIOL 201L,GEOL 201L,MATH 225,ART 110,CHIN 102,ART 110,,CS 101,PSYC 245 CL,
,,,ESCI 106,BIOL 202,GEOL 207L,MATH 250,ART 113,CHIN 201,ART 113,,CD 110,READ 101,
,,,ESCI 110L,BOT 120L,PHYS 100L,PSYCH 210,ART 116,CHIN 202,ART 116,,COMM 110 CL,SOC 110,
,,,ENGY 100,MICR 200L,PHYS 101L,,ART 118 CL,CHIN 260,ART 118 CL,,COMM 115,SOC 120,
,,,GEOG 101,PSYC 241,PHYS 102L,,ART 120,COMM 140,ART 120,,ECON 101,WGS 103 CL,
,,,GEOG 101L,ZOOL 120L,PHYS 201L,,ART 130A,ENGL 102,ART 130A,,ECON 102 CL,WGS 108 CL,
,,,GEOG 103,,PHYS 202L,,ART 150,ENGL 106,ART 150,,ECON 201,WGS 205 CL,
,,,GEOL 101L,,PHYS 203L,,ART 193,ENGL 221A,ART 193,,ECON 201M,,
,,,GEOL 102,,A&P 120L,,DANC 100,ENGL 221B,DANC 100,,ECON 202,,
,,,GEOL 102L,,A&P 150L,,DANC 101,ENGL 222,DANC 101,,ECON 202M,,
,,,GEOL 103,,A&P 151L,,FILM 159,ENGL 223,FILM 159,,ECON 204,,
,,,GEOL 103L,,A&P 200L,,HUM 108 CL,ENGL 224,HUM 108 CL,,ETHN 110 CL,,
,,,GEOL 201L,,A&P 201L,,HUM 109 CL,ENGL 225,HUM 109 CL,,ETHN 210 CL,,
,,,GEOL 204,,ANTH 115L,,MUS 100,ENGL 226 CL,MUS 100,,ETHN 275 CL,,
